,PokeIn,PokeOut,Reward,Side,SideHigh,Protocollo,Stim,Wall,ProbVec0,ProbVec1,GamVec0,GamVec1,delta
0,9.872,10.467,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
1,10.937,11.316,1.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
2,17.265,18.401,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
3,20.32,22.005,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
4,22.654,24.467,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
5,25.022,26.074,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
6,26.7,27.492,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
7,30.756,31.585,1.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
8,41.056,41.512,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
9,42.088,42.868,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
10,43.637,44.397,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
11,45.111,45.96,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
12,46.526,47.244,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
13,48.024,48.651,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
14,49.271,50.024,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
15,50.543,51.452,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
16,53.372,54.044,0.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
17,54.564,55.942,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
18,57.995,58.572,1.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
19,59.072,59.567,1.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
20,60.127,60.564,1.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
21,61.131,61.582,1.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
22,62.206,62.744,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
23,63.312,63.9,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
24,65.94,66.497,0.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
25,66.968,67.531,0.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
26,68.092,68.639,1.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
27,69.138,69.579,0.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
28,70.084,70.569,1.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
29,71.116,71.504,1.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
30,72.114,72.442,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
31,73.06,73.334,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
32,74.087,75.115,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
33,76.847,78.272,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
34,78.891,79.37,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
35,79.863,80.131,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
