,PokeIn,PokeOut,Reward,Side,SideHigh,Protocollo,Stim,Wall,ProbVec0,ProbVec1,GamVec0,GamVec1,delta
0,6.901,7.159,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
1,7.541,7.656,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
2,7.737,7.974,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
3,8.034,8.177,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
4,8.235,8.349,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
5,8.416,8.517,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
6,8.904,9.063,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
7,9.172,9.276,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
8,16.281,16.425,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
9,16.796,16.98,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
10,17.158,17.27,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
11,17.377,18.001,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
12,18.325,18.55,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
13,18.847,19.039,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
14,19.316,19.511,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
15,19.799,19.969,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
16,21.108,21.392,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
17,21.971,22.224,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
18,22.878,23.131,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
19,23.677,23.933,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
20,24.473,24.681,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
21,25.239,25.47,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
22,25.973,26.152,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
23,26.777,27.069,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
24,27.415,27.642,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
25,28.025,28.211,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
26,28.648,28.817,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
27,29.23,29.586,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
28,29.903,30.098,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
29,30.445,30.624,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
30,31.491,31.814,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
