,PokeIn,PokeOut,Reward,Side,SideHigh,Protocollo,Stim,ProbVec0,ProbVec1,GamVec0,GamVec1,delta
0,31.339,32.675,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
1,33.26,34.828,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
2,35.354,36.469,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
3,36.883,38.218,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
4,38.611,41.318,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
5,41.805,42.549,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
6,45.573,46.844,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
7,48.221,49.626,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
8,50.334,51.491,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
9,52.032,53.325,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
10,59.114,59.781,0.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
11,60.115,62.235,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
12,110.152,111.307,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
13,112.421,113.098,0.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
14,113.732,114.78,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
15,115.238,116.427,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
16,117.07,117.745,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
17,123.133,123.777,1.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
18,124.214,125.301,1.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
19,125.631,127.725,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
20,128.218,129.198,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
21,129.635,130.051,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
22,143.845,145.122,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
23,145.735,146.518,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
24,152.48,153.133,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
25,153.581,154.696,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
26,155.176,156.769,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
27,163.949,164.929,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
28,166.297,166.939,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
29,167.828,169.028,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
30,169.538,170.622,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
31,171.209,172.679,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
32,181.912,182.583,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
33,183.403,183.955,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
34,184.694,185.932,0.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
35,187.01,187.488,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
36,188.145,189.016,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
37,189.694,190.584,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
38,191.219,192.393,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
39,198.823,199.667,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
40,200.281,202.182,1.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
41,203.59,204.597,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
42,205.365,206.291,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
43,207.049,208.078,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
44,212.252,212.965,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
45,213.612,214.506,0.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
46,215.18,216.165,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
47,217.05,217.967,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
48,218.626,219.45,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
49,220.052,221.731,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
50,226.209,227.271,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
51,228.818,230.24,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
52,231.597,232.93,1.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
