,PokeIn,PokeOut,Reward,Side,SideHigh,Protocollo,Stim,ProbVec0,ProbVec1,GamVec0,GamVec1,delta
0,69.34,70.904,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
1,71.668,73.067,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
2,73.645,74.815,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
3,75.449,76.706,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
4,84.169,84.924,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
5,85.617,86.643,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
6,87.173,87.891,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
7,88.371,89.538,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
8,94.129,94.899,1.0,0.0,0.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
9,95.389,96.529,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
10,103.031,103.982,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
11,104.422,105.212,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
12,105.637,106.444,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
13,106.869,107.518,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
14,124.699,125.099,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
15,151.606,152.509,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
16,152.802,153.637,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
17,153.967,154.873,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
18,155.227,156.109,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
19,156.445,157.317,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
20,183.727,185.407,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
21,185.761,186.993,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
22,197.217,197.948,0.0,1.0,1.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
23,198.991,199.96,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
24,200.438,201.596,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
25,202.341,203.512,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
26,210.229,211.187,0.0,0.0,0.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
27,211.698,212.752,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
28,213.298,214.34,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
29,214.983,215.941,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
30,216.382,216.656,0.0,0.0,1.0,0.0,0.0,80.0,20.0,100.0,100.0,0.0
31,222.18,223.002,1.0,1.0,1.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
32,223.532,224.375,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
33,224.888,225.757,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
34,226.194,227.116,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
35,227.751,228.504,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
36,229.173,230.038,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
37,230.589,231.523,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
38,232.099,233.026,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
39,233.551,234.286,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
40,234.851,235.635,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
41,236.161,237.123,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
42,237.545,238.495,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
43,238.984,239.648,0.0,1.0,0.0,1.0,0.0,80.0,20.0,100.0,100.0,0.0
