,PokeIn,PokeOut,Reward,Side,SideHigh,Protocollo,Stim,ProbVec0,ProbVec1,GamVec0,GamVec1,delta
0,8.652,9.551,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
1,9.979,11.209,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
2,11.559,12.562,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
3,13.047,13.771,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
4,14.345,15.039,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
5,35.87,35.986,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
6,36.018,36.999,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
7,37.772,38.611,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
8,39.026,39.843,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
9,40.259,41.484,0.0,0.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
10,97.653,98.36,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
11,98.81,99.479,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
12,99.986,100.6,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
13,101.355,101.86,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
14,102.355,103.083,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
15,103.54,103.826,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
16,113.669,114.768,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
17,115.156,115.546,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
18,116.042,116.678,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
19,117.138,117.809,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
20,118.263,118.924,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
21,119.352,120.081,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
22,120.461,121.151,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
23,137.646,138.353,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
24,138.735,139.491,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
25,139.882,140.546,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
26,140.967,141.568,1.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
27,454.988,455.337,0.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
28,455.56,456.083,0.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
29,456.388,456.538,0.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
30,462.491,462.966,1.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
31,463.727,464.262,0.0,1.0,1.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
32,464.715,466.784,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
33,467.286,468.248,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
34,468.72,469.296,0.0,1.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
35,474.849,475.678,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
36,476.954,477.087,1.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
37,477.097,477.502,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
38,479.525,480.366,1.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
39,482.448,483.828,0.0,0.0,0.0,0.0,0.0,45.0,90.0,15.0,90.0,0.0
