,PokeIn,PokeOut,Reward,Side,SideHigh,Protocollo,Stim,Wall,ProbVec0,ProbVec1,GamVec0,GamVec1,delta
0,5.005,5.686,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
1,6.482,6.893,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
2,8.138,8.868,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
3,9.375,10.07,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
4,10.602,11.33,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
5,11.803,12.272,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
6,12.873,13.493,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
7,14.482,14.938,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
8,15.544,16.229,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
9,16.707,17.343,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
10,17.994,18.526,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
11,20.032,20.503,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
12,21.152,21.773,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
13,22.282,23.149,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
14,23.611,24.421,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
15,24.811,25.537,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
16,26.18,26.667,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
17,27.652,28.326,0.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
18,28.808,29.538,0.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
19,30.116,30.819,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
20,31.279,32.08,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
21,32.605,33.328,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
22,34.499,35.052,1.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
23,35.674,36.294,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
24,36.841,37.427,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
25,37.943,38.391,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
26,39.252,39.895,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
27,40.396,41.09,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
28,41.573,42.209,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
29,43.079,43.656,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
30,44.098,44.616,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
31,45.533,46.225,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
32,46.823,47.424,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
33,47.753,48.367,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
